date,store_id,item_id,sales,price,promo,weekday,month
2019-01-01,store_1,item_1,41,21.3,0,1,1
2019-01-01,store_1,item_2,56,30.84,1,1,1
2019-01-01,store_1,item_3,37,82.6,0,1,1
2019-01-01,store_1,item_4,36,89.65,0,1,1
2019-01-01,store_1,item_5,25,69.38,0,1,1
2019-01-01,store_2,item_1,54,76.72,0,1,1
2019-01-01,store_2,item_2,43,37.22,0,1,1
2019-01-01,store_2,item_3,49,24.99,0,1,1
2019-01-01,store_2,item_4,53,85.11,0,1,1
2019-01-01,store_2,item_5,37,38.18,0,1,1
2019-01-01,store_3,item_1,46,59.81,0,1,1
2019-01-01,store_3,item_2,42,41.07,0,1,1
2019-01-01,store_3,item_3,46,75.51,0,1,1
2019-01-01,store_3,item_4,45,80.93,0,1,1
2019-01-01,store_3,item_5,34,55.74,0,1,1
2019-01-01,store_4,item_1,43,54.67,0,1,1
2019-01-01,store_4,item_2,38,89.27,0,1,1
2019-01-01,store_4,item_3,42,87.39,0,1,1
2019-01-01,store_4,item_4,46,60.11,0,1,1
2019-01-01,store_4,item_5,53,19.24,1,1,1
2019-01-01,store_5,item_1,38,81.45,0,1,1
2019-01-01,store_5,item_2,30,58.1,0,1,1
2019-01-01,store_5,item_3,41,93.39,0,1,1
2019-01-01,store_5,item_4,40,95.54,0,1,1
2019-01-01,store_5,item_5,21,95.6,0,1,1
2019-01-02,store_1,item_1,53,21.3,0,2,1
2019-01-02,store_1,item_2,36,38.55,0,2,1
2019-01-02,store_1,item_3,40,82.6,0,2,1
2019-01-02,store_1,item_4,40,89.65,0,2,1
2019-01-02,store_1,item_5,39,69.38,0,2,1
2019-01-02,store_2,item_1,87,61.38,1,2,1
2019-01-02,store_2,item_2,49,37.22,0,2,1
2019-01-02,store_2,item_3,46,24.99,0,2,1
2019-01-02,store_2,item_4,49,85.11,0,2,1
2019-01-02,store_2,item_5,40,38.18,0,2,1
2019-01-02,store_3,item_1,52,59.81,0,2,1
2019-01-02,store_3,item_2,46,41.07,0,2,1
2019-01-02,store_3,item_3,76,60.41,1,2,1
2019-01-02,store_3,item_4,44,80.93,0,2,1
2019-01-02,store_3,item_5,36,55.74,0,2,1
2019-01-02,store_4,item_1,48,54.67,0,2,1
2019-01-02,store_4,item_2,63,71.42,1,2,1
2019-01-02,store_4,item_3,43,87.39,0,2,1
